phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag,difficulty_score,entropy,familiarity,level_tier
cotton ball,cotton,ball,high,5.5,2.07,1,1.0,concrete,neutral,household,23.0,1,4,early (1-20)
cotton candy,cotton,candy,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
couch cushion,couch,cushion,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
couch pillow,couch,pillow,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
country club,country,club,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
country music,country,music,medium,5.6,1.67,1,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
country road,country,road,medium,5.4,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
county fair,county,fair,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
coupon code,coupon,code,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
cowboy boot,cowboy,boot,medium,5.5,1.67,1,1.0,concrete,neutral,clothing,23.0,1,4,mid (21-50)
crab cake,crab,cake,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
cracker jack,cracker,jack,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
craft beer,craft,beer,medium,5.4,1.63,1,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
craft fair,craft,fair,medium,5.2,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
craft glue,craft,glue,medium,5.0,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
craft paper,craft,paper,medium,5.2,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
craft project,craft,project,medium,5.4,1.63,2,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
craft store,craft,store,medium,5.4,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
craft supply,craft,supply,medium,5.2,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
craft table,craft,table,medium,5.2,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
craft time,craft,time,medium,5.2,1.63,2,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
cranberry juice,cranberry,juice,medium,5.4,1.63,1,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
cranberry sauce,cranberry,sauce,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
crane lift,crane,lift,high,5.0,2.05,1,1.0,concrete,neutral,object_neutral,22.5,1,3,early (1-20)
cream bagel,cream,bagel,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
cream cheese,cream,cheese,high,6.0,2.08,1,1.0,concrete,neutral,food,20.0,1,4,early (1-20)
cream pie,cream,pie,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
credit balance,credit,balance,medium,5.2,1.61,1,0.8,concrete,neutral,commerce,20.0,1,4,mid (21-50)
credit limit,credit,limit,medium,5.4,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
credit line,credit,line,medium,5.2,1.6,2,0.7,concrete,neutral,commerce,20.0,1,4,mid (21-50)
credit score,credit,score,medium,5.4,1.6,1,0.7,concrete,neutral,commerce,20.0,1,4,mid (21-50)
crescent moon,crescent,moon,medium,5.2,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
crew cut,crew,cut,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,18.5,1,4,early (1-20)
crew neck,crew,neck,medium,5.5,1.67,1,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
crock pot,crock,pot,high,5.5,2.07,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
cross road,cross,road,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
cross street,cross,street,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
cross walk,cross,walk,medium,5.6,1.67,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
cross word,cross,word,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
cruise line,cruise,line,medium,5.5,1.67,1,1.0,concrete,neutral,maritime,23.0,1,4,mid (21-50)
cruise ship,cruise,ship,medium,5.6,1.67,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
crystal ball,crystal,ball,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,24.5,1,4,early (1-20)
cue ball,cue,ball,medium,5.2,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
cup cake,cup,cake,high,5.8,2.07,1,1.0,concrete,neutral,food,20.0,1,4,early (1-20)
cup holder,cup,holder,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,21.5,1,4,early (1-20)
curtain rod,curtain,rod,medium,5.2,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
custom order,custom,order,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
dairy barn,dairy,barn,medium,5.0,1.63,1,1.0,concrete,neutral,agriculture,22.5,1,3,mid (21-50)
dance floor,dance,floor,medium,5.6,1.67,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
dance hall,dance,hall,medium,5.5,1.67,1,1.0,concrete,neutral,music,21.5,1,4,mid (21-50)
dance move,dance,move,medium,5.4,1.63,2,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
dance music,dance,music,medium,5.4,1.63,2,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
dance partner,dance,partner,medium,5.2,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
dance step,dance,step,medium,5.2,1.63,2,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
dance studio,dance,studio,medium,5.2,1.63,2,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
dance teacher,dance,teacher,medium,5.2,1.63,1,1.0,concrete,neutral,job,20.0,1,4,mid (21-50)
danish pastry,danish,pastry,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
dark chocolate,dark,chocolate,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
dark cloud,dark,cloud,medium,5.4,1.63,2,1.0,concrete,neutral,weather,20.0,1,4,mid (21-50)
dark room,dark,room,medium,5.2,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
data base,data,base,medium,5.4,1.63,1,1.0,concrete,neutral,technology,20.0,1,4,mid (21-50)
data storage,data,storage,medium,5.2,1.63,1,1.0,concrete,neutral,technology,20.0,1,4,mid (21-50)
date night,date,night,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
day camp,day,camp,medium,5.4,1.63,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
day care,day,care,medium,5.6,1.67,2,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
day pack,day,pack,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,18.5,1,4,early (1-20)
day shift,day,shift,medium,5.2,1.63,2,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
dean list,dean,list,medium,5.0,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
debate team,debate,team,medium,5.2,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
debit card,debit,card,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
deck chair,deck,chair,high,5.5,2.07,1,1.0,concrete,neutral,household,21.5,1,4,early (1-20)
deck hand,deck,hand,medium,5.5,1.67,1,1.0,concrete,neutral,maritime,20.0,1,4,mid (21-50)
deep dish,deep,dish,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
deep snow,deep,snow,medium,5.4,1.63,1,1.0,concrete,neutral,weather,20.0,1,4,mid (21-50)
delivery date,delivery,date,medium,5.2,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
delivery driver,delivery,driver,medium,5.4,1.63,2,1.0,concrete,neutral,job,20.0,1,4,mid (21-50)
delivery fee,delivery,fee,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
delivery time,delivery,time,medium,5.2,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
delivery truck,delivery,truck,medium,5.4,1.63,2,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
department store,department,store,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
deposit slip,deposit,slip,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
desk chair,desk,chair,medium,5.6,1.67,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
desk drawer,desk,drawer,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
desk lamp,desk,lamp,medium,5.6,1.67,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
desk pad,desk,pad,medium,5.0,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
desk phone,desk,phone,medium,5.2,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
desk top,desk,top,medium,5.6,2.22,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
dial tone,dial,tone,medium,5.5,1.67,1,1.0,concrete,neutral,communication,20.0,1,4,mid (21-50)
dining chair,dining,chair,medium,5.6,1.67,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
dining guide,dining,guide,medium,5.0,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
dining room,dining,room,high,6.2,2.23,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
dining table,dining,table,high,6.0,2.08,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
dinner bell,dinner,bell,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
dinner fork,dinner,fork,high,5.5,2.07,1,1.0,concrete,neutral,household,23.0,1,4,early (1-20)
dinner menu,dinner,menu,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
dinner napkin,dinner,napkin,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
dinner party,dinner,party,medium,5.6,1.67,2,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
dinner plate,dinner,plate,medium,5.6,1.67,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
dinner roll,dinner,roll,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
dinner table,dinner,table,medium,5.8,1.67,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
dinner time,dinner,time,medium,5.6,2.22,2,1.0,concrete,neutral,time,20.0,1,4,early (1-20)
dirt bike,dirt,bike,medium,5.4,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
dirt road,dirt,road,medium,5.6,1.67,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
discount code,discount,code,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
dish cloth,dish,cloth,high,5.5,2.07,1,1.0,concrete,neutral,household,21.5,1,4,early (1-20)
dish rack,dish,rack,high,5.5,2.07,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
dish soap,dish,soap,high,5.5,2.07,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
district manager,district,manager,medium,5.2,1.63,1,1.0,concrete,neutral,job,20.0,1,4,mid (21-50)
dock worker,dock,worker,medium,5.2,1.63,1,1.0,concrete,neutral,job,20.0,1,4,mid (21-50)
dodge ball,dodge,ball,medium,5.4,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
dog door,dog,door,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
dog food,dog,food,medium,5.6,2.22,2,1.0,concrete,neutral,animal,20.0,1,4,early (1-20)
dog park,dog,park,medium,5.6,1.67,2,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
dog show,dog,show,medium,5.4,1.63,2,1.0,concrete,neutral,performance,20.0,1,4,mid (21-50)
dog tag,dog,tag,high,6.5,2.08,1,1.0,concrete,neutral,object_neutral,15.0,1,5,early (1-20)
dollar sign,dollar,sign,medium,5.5,1.67,2,1.0,concrete,neutral,commerce,23.0,1,4,mid (21-50)
dollar store,dollar,store,medium,5.4,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
donut hole,donut,hole,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
donut shop,donut,shop,medium,5.4,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
door bell,door,bell,medium,5.6,2.22,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
door frame,door,frame,high,5.5,2.07,1,1.0,concrete,neutral,household,21.5,1,4,early (1-20)
door handle,door,handle,high,5.5,2.07,2,1.0,concrete,neutral,household,23.0,1,4,early (1-20)
door hinge,door,hinge,medium,5.2,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
door key,door,key,medium,5.4,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
door knob,door,knob,medium,5.4,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
door mat,door,mat,medium,5.4,2.21,2,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
door stop,door,stop,medium,5.2,1.63,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
door trim,door,trim,high,5.5,2.07,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
dough ball,dough,ball,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
down time,down,time,medium,5.4,1.61,1,0.8,concrete,neutral,time,20.0,1,4,mid (21-50)
drain pipe,drain,pipe,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
drama club,drama,club,medium,5.4,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
drawing paper,drawing,paper,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
dress code,dress,code,medium,5.4,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
dress pants,dress,pants,medium,5.2,1.63,1,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
dress shirt,dress,shirt,medium,5.4,1.63,2,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
dress shoe,dress,shoe,medium,5.4,1.63,2,1.0,concrete,neutral,clothing,20.0,1,4,mid (21-50)
dressing room,dressing,room,medium,5.4,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
dried fruit,dried,fruit,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
drill bit,drill,bit,medium,5.2,1.63,1,1.0,concrete,neutral,tool,20.0,1,4,mid (21-50)
drill press,drill,press,medium,5.0,1.63,1,1.0,concrete,neutral,craft,24.0,1,3,mid (21-50)
drill team,drill,team,medium,5.0,1.63,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
drink holder,drink,holder,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
drink menu,drink,menu,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
drink stand,drink,stand,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
drive shaft,drive,shaft,medium,5.0,1.63,1,1.0,concrete,neutral,transport,24.0,1,3,mid (21-50)
drive through,drive,through,medium,5.6,1.67,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
drive time,drive,time,medium,5.5,1.67,2,1.0,concrete,neutral,transport,21.5,1,4,mid (21-50)
drop off,drop,off,medium,5.6,1.67,1,1.0,concrete,neutral,action,20.0,1,4,mid (21-50)
drug store,drug,store,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
drum line,drum,line,medium,5.2,1.63,1,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
drum roll,drum,roll,medium,5.4,1.63,1,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
drum set,drum,set,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
drum stick,drum,stick,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
dry spell,dry,spell,medium,5.2,1.63,1,1.0,concrete,neutral,weather,20.0,1,4,mid (21-50)
dryer lint,dryer,lint,medium,5.0,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
dryer sheet,dryer,sheet,medium,5.2,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
duck pond,duck,pond,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
duct tape,duct,tape,high,5.5,2.07,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
dump truck,dump,truck,medium,5.6,1.67,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
dust pan,dust,pan,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
dust storm,dust,storm,medium,5.4,1.63,1,1.0,concrete,neutral,weather,20.0,1,4,mid (21-50)
early day,early,day,medium,5.2,1.63,1,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
earth tone,earth,tone,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,21.5,1,4,early (1-20)
egg drop,egg,drop,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
egg roll,egg,roll,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
egg salad,egg,salad,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
egg white,egg,white,medium,5.6,1.67,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
egg yolk,egg,yolk,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
electric guitar,electric,guitar,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
elementary school,elementary,school,medium,5.6,1.67,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
elevator shaft,elevator,shaft,medium,5.0,1.63,1,1.0,concrete,neutral,architecture,28.5,1,3,mid (21-50)
email account,email,account,medium,5.4,1.63,2,1.0,concrete,neutral,technology,20.0,1,4,mid (21-50)
email address,email,address,medium,5.6,2.22,2,1.0,concrete,neutral,communication,20.0,1,4,early (1-20)
email message,email,message,medium,5.4,1.63,1,1.0,concrete,neutral,communication,20.0,1,4,mid (21-50)
emergency exit,emergency,exit,medium,5.4,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
employee handbook,employee,handbook,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
employee parking,employee,parking,medium,5.2,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
end game,end,game,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,18.5,1,4,early (1-20)
end table,end,table,high,5.5,2.07,1,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
end zone,end,zone,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,18.5,1,4,early (1-20)
energy drink,energy,drink,medium,5.6,1.67,1,1.0,concrete,neutral,drink,20.0,1,4,mid (21-50)
engine room,engine,room,medium,5.0,1.63,1,1.0,concrete,neutral,maritime,20.0,1,4,mid (21-50)
english class,english,class,medium,5.4,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
english muffin,english,muffin,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
entrance fee,entrance,fee,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
evening star,evening,star,medium,5.2,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
exchange policy,exchange,policy,medium,5.0,1.6,1,0.7,concrete,neutral,commerce,20.0,1,4,mid (21-50)
exit sign,exit,sign,medium,5.4,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
express shipping,express,shipping,medium,5.2,1.63,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
express way,express,way,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
extension cord,extension,cord,medium,5.4,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
extra time,extra,time,medium,5.4,1.63,1,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
face cloth,face,cloth,high,5.5,2.07,1,1.0,concrete,neutral,household,21.5,1,4,early (1-20)
face lift,face,lift,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,20.0,1,4,early (1-20)
factory floor,factory,floor,medium,5.2,1.63,1,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
fair game,fair,game,medium,5.2,1.6,1,0.7,concrete,neutral,social,20.0,1,4,mid (21-50)
fall color,fall,color,medium,5.2,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
fall leaves,fall,leaves,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
fall season,fall,season,medium,5.2,1.63,1,1.0,concrete,neutral,time,20.0,1,4,mid (21-50)
family business,family,business,medium,5.4,1.63,1,1.0,concrete,neutral,work,20.0,1,4,mid (21-50)
family dinner,family,dinner,medium,5.6,1.67,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
family friend,family,friend,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
family name,family,name,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
family pet,family,pet,medium,5.4,1.63,2,1.0,concrete,neutral,animal,20.0,1,4,mid (21-50)
family photo,family,photo,medium,5.4,1.63,2,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
family room,family,room,medium,5.6,1.67,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
fan club,fan,club,medium,5.4,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
fan mail,fan,mail,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
fanny pack,fanny,pack,medium,5.5,1.67,1,1.0,concrete,neutral,clothing,21.5,1,4,mid (21-50)
farm hand,farm,hand,medium,5.5,1.64,2,0.7,concrete,neutral,agriculture,25.0,2,4,mid (21-50)
farm house,farm,house,medium,5.5,1.64,2,0.7,concrete,neutral,architecture,26.5,2,4,mid (21-50)
farm worker,farm,worker,medium,5.5,1.67,1,1.0,concrete,neutral,agriculture,23.0,1,4,mid (21-50)
farmers market,farmers,market,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
fashion show,fashion,show,medium,5.4,1.63,1,1.0,concrete,neutral,performance,20.0,1,4,mid (21-50)
fast food,fast,food,high,5.8,2.07,2,1.0,concrete,neutral,food,20.0,1,4,early (1-20)
faucet handle,faucet,handle,medium,5.0,1.63,1,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
fax machine,fax,machine,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
fax number,fax,number,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
fence post,fence,post,high,5.5,2.07,1,1.0,concrete,neutral,household,21.5,1,4,early (1-20)
ferry boat,ferry,boat,medium,5.2,1.63,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
field day,field,day,medium,5.4,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
field trip,field,trip,medium,5.6,1.67,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
fifth grade,fifth,grade,medium,5.4,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
fight song,fight,song,medium,5.2,1.63,1,1.0,concrete,neutral,music,20.0,1,4,mid (21-50)
file box,file,box,medium,5.2,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
file folder,file,folder,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
filing cabinet,filing,cabinet,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
fill out,fill,out,medium,5.6,1.67,1,1.0,concrete,neutral,action,20.0,1,4,mid (21-50)
film club,film,club,medium,5.0,1.63,1,1.0,concrete,neutral,social,20.0,1,4,mid (21-50)
final score,final,score,medium,5.4,1.63,2,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
final test,final,test,medium,5.2,1.63,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
fine art,fine,art,medium,5.2,1.61,1,0.8,concrete,neutral,art,20.0,1,4,mid (21-50)
fine print,fine,print,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,21.5,1,4,early (1-20)
finger food,finger,food,medium,5.4,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
finger paint,finger,paint,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
finish line,finish,line,high,5.5,2.07,1,1.0,concrete,neutral,object_neutral,23.0,1,4,early (1-20)
fire alarm,fire,alarm,medium,5.6,1.67,2,1.0,concrete,neutral,household,20.0,1,4,mid (21-50)
fire exit,fire,exit,medium,5.4,1.63,2,1.0,concrete,neutral,building,20.0,1,4,mid (21-50)
fire hose,fire,hose,high,5.5,2.07,2,1.0,concrete,neutral,object_neutral,20.0,1,4,early (1-20)
fire pit,fire,pit,high,5.5,2.07,2,1.0,concrete,neutral,household,18.5,1,4,early (1-20)
fire sale,fire,sale,medium,5.2,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
fire truck,fire,truck,high,6.2,2.23,1,1.0,concrete,neutral,transport,20.0,1,4,early (1-20)
first base,first,base,medium,5.6,1.67,1,1.0,concrete,neutral,sports,20.0,1,4,mid (21-50)
first class,first,class,medium,5.6,1.67,1,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
first grade,first,grade,medium,5.6,1.67,1,1.0,concrete,neutral,school,20.0,1,4,mid (21-50)
first mate,first,mate,medium,5.5,1.67,1,1.0,concrete,neutral,maritime,21.5,1,4,mid (21-50)
fish bowl,fish,bowl,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
fish fry,fish,fry,medium,5.2,1.63,1,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
fish hook,fish,hook,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
fish market,fish,market,medium,5.4,1.63,2,1.0,concrete,neutral,commerce,20.0,1,4,mid (21-50)
fish net,fish,net,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
fish pond,fish,pond,medium,5.4,1.63,1,1.0,concrete,neutral,nature,20.0,1,4,mid (21-50)
fish sauce,fish,sauce,medium,5.2,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
fish stick,fish,stick,medium,5.4,1.63,2,1.0,concrete,neutral,food,20.0,1,4,mid (21-50)
fish tank,fish,tank,high,5.5,2.07,2,1.0,concrete,neutral,household,20.0,1,4,early (1-20)
fishing boat,fishing,boat,medium,5.6,1.67,1,1.0,concrete,neutral,transport,20.0,1,4,mid (21-50)
fishing line,fishing,line,medium,5.4,1.63,1,1.0,concrete,neutral,object,20.0,1,4,mid (21-50)
