phrase,word1,word2,bigram_frequency,avg_zipf,PFS,CES_estimate,concreteness_score,abstraction_level,tone_tag,category_tag,difficulty_score,entropy,familiarity
deep snow,deep,snow,medium,5.4,6.4,1,1.0,concrete,neutral,weather,20.0,1,4
delivery date,delivery,date,medium,5.2,6.2,2,1.0,concrete,neutral,commerce,20.0,1,4
delivery driver,delivery,driver,medium,5.4,6.4,2,1.0,concrete,neutral,job,20.0,1,4
delivery fee,delivery,fee,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
delivery time,delivery,time,medium,5.2,6.2,2,1.0,concrete,neutral,commerce,20.0,1,4
delivery truck,delivery,truck,medium,5.4,6.4,2,1.0,concrete,neutral,transport,20.0,1,4
department store,department,store,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
deposit slip,deposit,slip,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
desk chair,desk,chair,medium,5.6,6.6,2,1.0,concrete,neutral,household,20.0,1,4
desk drawer,desk,drawer,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
desk lamp,desk,lamp,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
desk pad,desk,pad,medium,5.0,6.0,2,1.0,concrete,neutral,object,20.0,1,4
desk phone,desk,phone,medium,5.2,6.2,2,1.0,concrete,neutral,object,20.0,1,4
desk top,desk,top,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
dial tone,dial,tone,medium,5.5,5.7,1,1.0,concrete,neutral,communication,20.0,1,4
dig in,dig,in,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
dining chair,dining,chair,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
dining guide,dining,guide,medium,5.0,6.0,1,1.0,concrete,neutral,object,20.0,1,4
dining room,dining,room,high,6.2,7.4,1,1.0,concrete,neutral,household,20.0,1,4
dining table,dining,table,high,6.0,7.2,1,1.0,concrete,neutral,household,20.0,1,4
dinner bell,dinner,bell,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
dinner fork,dinner,fork,high,5.5,5.7,1,1.0,concrete,neutral,household,23.0,1,4
dinner menu,dinner,menu,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
dinner napkin,dinner,napkin,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
dinner party,dinner,party,medium,5.6,6.6,2,1.0,concrete,neutral,social,20.0,1,4
dinner plate,dinner,plate,medium,5.6,6.6,2,1.0,concrete,neutral,object,20.0,1,4
dinner roll,dinner,roll,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
dinner table,dinner,table,medium,5.8,6.8,2,1.0,concrete,neutral,household,20.0,1,4
dinner time,dinner,time,medium,5.6,6.6,2,1.0,concrete,neutral,time,20.0,1,4
dirt bike,dirt,bike,medium,5.4,6.4,1,1.0,concrete,neutral,transport,20.0,1,4
dirt road,dirt,road,medium,5.6,6.6,1,1.0,concrete,neutral,transport,20.0,1,4
dirty work,dirty,work,medium,5.2,6.2,1,0.5,abstract,negative,work,20.0,1,4
discount code,discount,code,medium,5.4,6.4,1,1.0,concrete,neutral,commerce,20.0,1,4
dish cloth,dish,cloth,high,5.5,5.7,1,1.0,concrete,neutral,household,21.5,1,4
dish rack,dish,rack,high,5.5,5.7,1,1.0,concrete,neutral,household,20.0,1,4
dish soap,dish,soap,high,5.5,5.7,1,1.0,concrete,neutral,household,20.0,1,4
district manager,district,manager,medium,5.2,6.2,1,1.0,concrete,neutral,job,20.0,1,4
dive in,dive,in,medium,5.4,6.4,1,0.5,abstract,positive,action,20.0,1,4
dock worker,dock,worker,medium,5.2,6.2,1,1.0,concrete,neutral,job,20.0,1,4
dodge ball,dodge,ball,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
dog door,dog,door,medium,5.2,6.2,1,1.0,concrete,neutral,household,20.0,1,4
dog food,dog,food,medium,5.6,6.6,2,1.0,concrete,neutral,animal,20.0,1,4
dog park,dog,park,medium,5.6,6.6,2,1.0,concrete,neutral,nature,20.0,1,4
dog show,dog,show,medium,5.4,6.4,2,1.0,concrete,neutral,performance,20.0,1,4
dog tag,dog,tag,high,6.5,6.9,1,1.0,concrete,neutral,object_neutral,15.0,1,5
dollar sign,dollar,sign,medium,5.5,5.7,2,1.0,concrete,neutral,commerce,23.0,1,4
dollar store,dollar,store,medium,5.4,6.4,2,1.0,concrete,neutral,commerce,20.0,1,4
donut hole,donut,hole,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
donut shop,donut,shop,medium,5.4,6.4,1,1.0,concrete,neutral,commerce,20.0,1,4
door bell,door,bell,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
door frame,door,frame,high,5.5,5.7,1,1.0,concrete,neutral,household,21.5,1,4
door handle,door,handle,high,5.5,5.7,2,1.0,concrete,neutral,household,23.0,1,4
door hinge,door,hinge,medium,5.2,6.2,2,1.0,concrete,neutral,household,20.0,1,4
door key,door,key,medium,5.4,6.4,2,1.0,concrete,neutral,household,20.0,1,4
door knob,door,knob,medium,5.4,6.4,2,1.0,concrete,neutral,household,20.0,1,4
door lock,door,lock,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
door mat,door,mat,medium,5.4,6.4,2,1.0,concrete,neutral,household,20.0,1,4
door rug,door,rug,low,5.0,6.0,1,1.0,concrete,neutral,household,20.0,1,4
door stop,door,stop,medium,5.2,6.2,2,1.0,concrete,neutral,household,20.0,1,4
door trim,door,trim,high,5.5,5.7,1,1.0,concrete,neutral,household,20.0,1,4
double take,double,take,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
dough ball,dough,ball,medium,5.2,6.2,1,1.0,concrete,neutral,food,20.0,1,4
down side,down,side,medium,5.4,6.4,1,0.5,abstract,negative,thought,20.0,1,4
down time,down,time,medium,5.4,6.4,1,0.8,concrete,neutral,time,20.0,1,4
draft beer,draft,beer,medium,5.2,6.2,1,1.0,concrete,neutral,drink,20.0,1,4
drag on,drag,on,medium,5.2,6.2,1,0.4,abstract,negative,action,20.0,1,4
drain pipe,drain,pipe,medium,5.2,6.2,1,1.0,concrete,neutral,household,20.0,1,4
drama club,drama,club,medium,5.4,6.4,1,1.0,concrete,neutral,school,20.0,1,4
draw back,draw,back,medium,5.2,6.2,1,0.5,abstract,neutral,action,20.0,1,4
drawer pull,drawer,pull,low,4.8,5.8,1,1.0,concrete,neutral,household,20.0,1,4
drawing paper,drawing,paper,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
dream work,dream,work,medium,5.0,6.0,1,0.4,abstract,neutral,thought,20.0,1,4
dress code,dress,code,medium,5.4,6.4,1,1.0,concrete,neutral,work,20.0,1,4
dress pants,dress,pants,medium,5.2,6.2,1,1.0,concrete,neutral,clothing,20.0,1,4
dress shirt,dress,shirt,medium,5.4,6.4,2,1.0,concrete,neutral,clothing,20.0,1,4
dress shoe,dress,shoe,medium,5.4,6.4,2,1.0,concrete,neutral,clothing,20.0,1,4
dressing room,dressing,room,medium,5.4,6.4,1,1.0,concrete,neutral,building,20.0,1,4
dried fruit,dried,fruit,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
drift away,drift,away,medium,5.2,6.2,1,0.5,abstract,neutral,action,20.0,1,4
drill bit,drill,bit,medium,5.2,6.2,1,1.0,concrete,neutral,tool,20.0,1,4
drill press,drill,press,medium,5.0,5.0,1,1.0,concrete,neutral,craft,24.0,1,3
drill team,drill,team,medium,5.0,6.0,1,1.0,concrete,neutral,sports,20.0,1,4
drink holder,drink,holder,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
drink menu,drink,menu,medium,5.2,6.2,1,1.0,concrete,neutral,food,20.0,1,4
drink stand,drink,stand,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
drive shaft,drive,shaft,medium,5.0,5.0,1,1.0,concrete,neutral,transport,24.0,1,3
drive through,drive,through,medium,5.6,6.6,2,1.0,concrete,neutral,commerce,20.0,1,4
drive time,drive,time,medium,5.5,5.7,2,1.0,concrete,neutral,transport,21.5,1,4
drop in,drop,in,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
drop off,drop,off,medium,5.6,6.6,1,1.0,concrete,neutral,action,20.0,1,4
drug store,drug,store,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
drum line,drum,line,medium,5.2,6.2,1,1.0,concrete,neutral,music,20.0,1,4
drum roll,drum,roll,medium,5.4,6.4,1,1.0,concrete,neutral,music,20.0,1,4
drum set,drum,set,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
drum stick,drum,stick,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
dry spell,dry,spell,medium,5.2,6.2,1,1.0,concrete,neutral,weather,20.0,1,4
dryer lint,dryer,lint,medium,5.0,6.0,1,1.0,concrete,neutral,household,20.0,1,4
dryer sheet,dryer,sheet,medium,5.2,6.2,1,1.0,concrete,neutral,household,20.0,1,4
duck pond,duck,pond,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
duct tape,duct,tape,high,5.5,5.7,1,1.0,concrete,neutral,household,20.0,1,4
dumb luck,dumb,luck,medium,5.2,6.2,1,0.5,abstract,neutral,social,20.0,1,4
dump truck,dump,truck,medium,5.6,6.6,1,1.0,concrete,neutral,transport,20.0,1,4
dust pan,dust,pan,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
dust storm,dust,storm,medium,5.4,6.4,1,1.0,concrete,neutral,weather,20.0,1,4
early day,early,day,medium,5.2,6.2,1,1.0,concrete,neutral,time,20.0,1,4
earth tone,earth,tone,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,21.5,1,4
easy way,easy,way,medium,5.4,6.4,1,0.5,abstract,positive,action,20.0,1,4
egg drop,egg,drop,medium,5.2,6.2,1,1.0,concrete,neutral,food,20.0,1,4
egg roll,egg,roll,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
egg salad,egg,salad,medium,5.4,6.4,2,1.0,concrete,neutral,food,20.0,1,4
egg white,egg,white,medium,5.6,6.6,1,1.0,concrete,neutral,food,20.0,1,4
egg yolk,egg,yolk,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
either way,either,way,medium,5.4,6.4,1,0.5,abstract,neutral,thought,20.0,1,4
electric guitar,electric,guitar,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
elementary school,elementary,school,medium,5.6,6.6,1,1.0,concrete,neutral,school,20.0,1,4
elevator shaft,elevator,shaft,medium,5.0,5.0,1,1.0,concrete,neutral,architecture,28.5,1,3
email account,email,account,medium,5.4,6.4,2,1.0,concrete,neutral,technology,20.0,1,4
email address,email,address,medium,5.6,6.6,2,1.0,concrete,neutral,communication,20.0,1,4
email message,email,message,medium,5.4,6.4,1,1.0,concrete,neutral,communication,20.0,1,4
emergency exit,emergency,exit,medium,5.4,6.4,1,1.0,concrete,neutral,building,20.0,1,4
employee handbook,employee,handbook,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
employee parking,employee,parking,medium,5.2,6.2,1,1.0,concrete,neutral,building,20.0,1,4
end game,end,game,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,18.5,1,4
end table,end,table,high,5.5,5.7,1,1.0,concrete,neutral,household,20.0,1,4
end zone,end,zone,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,18.5,1,4
energy drink,energy,drink,medium,5.6,6.6,1,1.0,concrete,neutral,drink,20.0,1,4
engine room,engine,room,medium,5.0,6.0,1,1.0,concrete,neutral,maritime,20.0,1,4
english class,english,class,medium,5.4,6.4,1,1.0,concrete,neutral,school,20.0,1,4
english muffin,english,muffin,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
entrance fee,entrance,fee,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
entry bench,entry,bench,low,4.6,5.6,1,1.0,concrete,neutral,household,20.0,1,4
evening star,evening,star,medium,5.2,6.2,1,1.0,concrete,neutral,nature,20.0,1,4
exchange policy,exchange,policy,medium,5.0,6.0,1,0.7,concrete,neutral,commerce,20.0,1,4
exit sign,exit,sign,medium,5.4,6.4,1,1.0,concrete,neutral,building,20.0,1,4
express shipping,express,shipping,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
express way,express,way,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
extension cord,extension,cord,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
extra time,extra,time,medium,5.4,6.4,1,1.0,concrete,neutral,time,20.0,1,4
face cloth,face,cloth,high,5.5,5.7,1,1.0,concrete,neutral,household,21.5,1,4
face lift,face,lift,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,20.0,1,4
face off,face,off,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
face time,face,time,medium,5.4,6.4,1,0.6,abstract,neutral,time,20.0,1,4
factor in,factor,in,medium,5.2,6.2,1,0.4,abstract,neutral,thought,20.0,1,4
factory floor,factory,floor,medium,5.2,6.2,1,1.0,concrete,neutral,building,20.0,1,4
fade away,fade,away,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
fair chance,fair,chance,medium,5.2,6.2,1,0.4,abstract,neutral,thought,20.0,1,4
fair game,fair,game,medium,5.2,6.2,1,0.7,concrete,neutral,social,20.0,1,4
fake news,fake,news,medium,5.4,6.4,1,0.7,abstract,negative,communication,20.0,1,4
fall back,fall,back,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
fall color,fall,color,medium,5.2,6.2,1,1.0,concrete,neutral,nature,20.0,1,4
fall down,fall,down,medium,5.6,6.6,1,0.6,abstract,negative,action,20.0,1,4
fall leaves,fall,leaves,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
fall season,fall,season,medium,5.2,6.2,1,1.0,concrete,neutral,time,20.0,1,4
fall through,fall,through,medium,5.4,6.4,1,0.5,abstract,negative,action,20.0,1,4
false start,false,start,medium,5.2,6.2,1,0.5,abstract,negative,action,20.0,1,4
family business,family,business,medium,5.4,6.4,1,1.0,concrete,neutral,work,20.0,1,4
family dinner,family,dinner,medium,5.6,6.6,1,1.0,concrete,neutral,social,20.0,1,4
family friend,family,friend,medium,5.4,6.4,1,1.0,concrete,neutral,social,20.0,1,4
family name,family,name,medium,5.4,6.4,1,1.0,concrete,neutral,social,20.0,1,4
family pet,family,pet,medium,5.4,6.4,2,1.0,concrete,neutral,animal,20.0,1,4
family photo,family,photo,medium,5.4,6.4,2,1.0,concrete,neutral,object,20.0,1,4
family room,family,room,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
family time,family,time,medium,5.6,6.6,3,1.0,concrete,neutral,social,20.0,1,4
family tree,family,tree,medium,5.4,6.4,3,0.8,concrete,neutral,social,20.0,1,4
family trip,family,trip,medium,5.4,6.4,3,1.0,concrete,neutral,social,20.0,1,4
fan club,fan,club,medium,5.4,6.4,1,1.0,concrete,neutral,social,20.0,1,4
fan mail,fan,mail,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
fanny pack,fanny,pack,medium,5.5,5.7,1,1.0,concrete,neutral,clothing,21.5,1,4
far away,far,away,medium,5.6,6.6,1,0.6,abstract,neutral,distance,20.0,1,4
farm hand,farm,hand,medium,5.5,5.7,2,0.7,concrete,neutral,agriculture,25.0,2,4
farm house,farm,house,medium,5.5,5.7,2,0.7,concrete,neutral,architecture,26.5,2,4
farm worker,farm,worker,medium,5.5,5.7,1,1.0,concrete,neutral,agriculture,23.0,1,4
farmers market,farmers,market,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
fashion show,fashion,show,medium,5.4,6.4,1,1.0,concrete,neutral,performance,20.0,1,4
fast food,fast,food,high,5.8,6.8,2,1.0,concrete,neutral,food,20.0,1,4
fast start,fast,start,medium,5.2,6.2,1,0.5,abstract,positive,action,20.0,1,4
fast track,fast,track,medium,5.4,6.4,2,0.5,abstract,neutral,action,20.0,1,4
fat chance,fat,chance,medium,5.2,6.2,1,0.4,abstract,negative,thought,20.0,1,4
faucet handle,faucet,handle,medium,5.0,6.0,1,1.0,concrete,neutral,household,20.0,1,4
fax machine,fax,machine,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
fax number,fax,number,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
fence post,fence,post,high,5.5,5.7,1,1.0,concrete,neutral,household,21.5,1,4
ferry boat,ferry,boat,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
field day,field,day,medium,5.4,6.4,1,1.0,concrete,neutral,school,20.0,1,4
field trip,field,trip,medium,5.6,6.6,1,1.0,concrete,neutral,school,20.0,1,4
field work,field,work,medium,5.4,6.4,1,0.7,abstract,neutral,work,20.0,1,4
fifth grade,fifth,grade,medium,5.4,6.4,1,1.0,concrete,neutral,school,20.0,1,4
fight back,fight,back,medium,5.6,6.6,1,0.5,abstract,positive,action,20.0,1,4
fight song,fight,song,medium,5.2,6.2,1,1.0,concrete,neutral,music,20.0,1,4
fighting chance,fighting,chance,medium,5.2,6.2,1,0.4,abstract,positive,thought,20.0,1,4
figure out,figure,out,high,5.8,6.8,1,0.5,abstract,neutral,thought,20.0,1,4
file box,file,box,medium,5.2,6.2,1,1.0,concrete,neutral,object,20.0,1,4
file folder,file,folder,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
filing cabinet,filing,cabinet,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
fill in,fill,in,medium,5.6,6.6,1,0.5,abstract,neutral,action,20.0,1,4
fill out,fill,out,medium,5.6,6.6,1,1.0,concrete,neutral,action,20.0,1,4
fill up,fill,up,medium,5.6,6.6,1,0.6,abstract,neutral,action,20.0,1,4
film club,film,club,medium,5.0,6.0,1,1.0,concrete,neutral,social,20.0,1,4
final score,final,score,medium,5.4,6.4,2,1.0,concrete,neutral,sports,20.0,1,4
final stretch,final,stretch,medium,5.0,6.0,2,0.4,abstract,neutral,action,20.0,1,4
final test,final,test,medium,5.2,6.2,1,1.0,concrete,neutral,school,20.0,1,4
find out,find,out,high,5.8,6.8,1,0.5,abstract,neutral,action,20.0,1,4
find way,find,way,medium,5.4,6.4,1,0.5,abstract,neutral,action,20.0,1,4
fine art,fine,art,medium,5.2,6.2,1,0.8,concrete,neutral,art,20.0,1,4
fine print,fine,print,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,21.5,1,4
finger food,finger,food,medium,5.4,6.4,1,1.0,concrete,neutral,food,20.0,1,4
finger paint,finger,paint,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
finish line,finish,line,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,23.0,1,4
fire alarm,fire,alarm,medium,5.6,6.6,2,1.0,concrete,neutral,household,20.0,1,4
fire away,fire,away,medium,5.2,6.2,2,0.4,abstract,positive,communication,20.0,1,4
fire exit,fire,exit,medium,5.4,6.4,2,1.0,concrete,neutral,building,20.0,1,4
fire hose,fire,hose,high,5.5,5.7,2,1.0,concrete,neutral,object_neutral,20.0,1,4
fire pit,fire,pit,high,5.5,5.7,2,1.0,concrete,neutral,household,18.5,1,4
fire sale,fire,sale,medium,5.2,6.2,2,1.0,concrete,neutral,commerce,20.0,1,4
fire show,fire,show,low,4.8,5.8,2,1.0,concrete,neutral,performance,20.0,1,4
fire truck,fire,truck,high,6.2,7.4,1,1.0,concrete,neutral,transport,20.0,1,4
first base,first,base,medium,5.6,6.6,1,1.0,concrete,neutral,sports,20.0,1,4
first class,first,class,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
first grade,first,grade,medium,5.6,6.6,1,1.0,concrete,neutral,school,20.0,1,4
first mate,first,mate,medium,5.5,5.7,1,1.0,concrete,neutral,maritime,21.5,1,4
fish bowl,fish,bowl,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
fish fry,fish,fry,medium,5.2,6.2,1,1.0,concrete,neutral,food,20.0,1,4
fish hook,fish,hook,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
fish market,fish,market,medium,5.4,6.4,2,1.0,concrete,neutral,commerce,20.0,1,4
fish net,fish,net,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
fish pond,fish,pond,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
fish sauce,fish,sauce,medium,5.2,6.2,2,1.0,concrete,neutral,food,20.0,1,4
fish stick,fish,stick,medium,5.4,6.4,2,1.0,concrete,neutral,food,20.0,1,4
fish tank,fish,tank,high,5.5,5.7,2,1.0,concrete,neutral,household,20.0,1,4
fishing boat,fishing,boat,medium,5.6,6.6,1,1.0,concrete,neutral,transport,20.0,1,4
fishing line,fishing,line,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
fishing pole,fishing,pole,medium,5.6,6.6,1,1.0,concrete,neutral,object,20.0,1,4
fishing reel,fishing,reel,high,5.5,5.7,2,1.0,concrete,neutral,object_neutral,24.5,1,4
fishing rod,fishing,rod,medium,5.6,6.6,2,1.0,concrete,neutral,object,20.0,1,4
fishing spot,fishing,spot,medium,5.2,6.2,1,1.0,concrete,neutral,nature,20.0,1,4
fishing trip,fishing,trip,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
fit in,fit,in,medium,5.6,6.6,1,0.5,abstract,positive,social,20.0,1,4
fitness club,fitness,club,medium,5.2,6.2,1,1.0,concrete,neutral,social,20.0,1,4
fitting room,fitting,room,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
flag pole,flag,pole,high,5.5,5.7,1,1.0,concrete,neutral,object_neutral,20.0,1,4
flag team,flag,team,medium,5.0,6.0,1,1.0,concrete,neutral,sports,20.0,1,4
flash back,flash,back,medium,5.4,6.4,1,0.5,abstract,neutral,thought,20.0,1,4
flash card,flash,card,medium,5.4,6.4,1,1.0,concrete,neutral,object,20.0,1,4
flash drive,flash,drive,medium,5.6,6.6,1,1.0,concrete,neutral,technology,20.0,1,4
flash flood,flash,flood,medium,5.4,6.4,1,1.0,concrete,neutral,weather,20.0,1,4
flash light,flash,light,medium,5.6,6.6,1,1.0,concrete,neutral,object,20.0,1,4
flash sale,flash,sale,medium,5.2,6.2,1,1.0,concrete,neutral,commerce,20.0,1,4
flat bed,flat,bed,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
flat tire,flat,tire,medium,5.6,6.6,1,1.0,concrete,neutral,transport,20.0,1,4
flea market,flea,market,medium,5.4,6.4,1,1.0,concrete,neutral,commerce,20.0,1,4
flight crew,flight,crew,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
flight deck,flight,deck,medium,5.2,6.2,1,1.0,concrete,neutral,transport,20.0,1,4
flight path,flight,path,medium,5.2,6.2,2,1.0,concrete,neutral,transport,20.0,1,4
flight plan,flight,plan,medium,5.2,6.2,2,1.0,concrete,neutral,transport,20.0,1,4
flip side,flip,side,medium,5.4,6.4,1,0.5,abstract,neutral,thought,20.0,1,4
flood water,flood,water,medium,5.2,6.2,1,1.0,concrete,neutral,weather,20.0,1,4
floor board,floor,board,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
floor cushion,floor,cushion,low,5.0,6.0,1,1.0,concrete,neutral,household,20.0,1,4
floor lamp,floor,lamp,medium,5.6,6.6,1,1.0,concrete,neutral,household,20.0,1,4
floor map,floor,map,high,5.5,5.7,2,1.0,concrete,neutral,object_neutral,20.0,1,4
floor mat,floor,mat,medium,5.4,6.4,2,1.0,concrete,neutral,household,20.0,1,4
floor plan,floor,plan,medium,5.5,5.7,1,1.0,concrete,neutral,architecture,21.5,1,4
floor rug,floor,rug,medium,5.2,6.2,1,1.0,concrete,neutral,household,20.0,1,4
floor tile,floor,tile,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
flower bed,flower,bed,medium,5.6,6.6,2,1.0,concrete,neutral,nature,20.0,1,4
flower garden,flower,garden,medium,5.6,6.6,2,1.0,concrete,neutral,nature,20.0,1,4
flower petal,flower,petal,medium,5.4,6.4,3,1.0,concrete,neutral,nature,20.0,1,4
flower pot,flower,pot,medium,5.6,6.6,3,1.0,concrete,neutral,object,20.0,1,4
flower shop,flower,shop,medium,5.4,6.4,2,1.0,concrete,neutral,commerce,20.0,1,4
flower show,flower,show,medium,5.2,6.2,2,1.0,concrete,neutral,performance,20.0,1,4
flower vase,flower,vase,medium,5.4,6.4,1,1.0,concrete,neutral,household,20.0,1,4
fly trap,fly,trap,medium,5.2,6.2,1,1.0,concrete,neutral,household,20.0,1,4
foam cup,foam,cup,medium,5.0,6.0,1,1.0,concrete,neutral,object,20.0,1,4
folk music,folk,music,medium,5.2,6.2,1,1.0,concrete,neutral,music,20.0,1,4
folk song,folk,song,medium,5.2,6.2,1,1.0,concrete,neutral,music,20.0,1,4
follow through,follow,through,medium,5.4,6.4,1,0.5,abstract,positive,action,20.0,1,4
food cart,food,cart,medium,5.4,6.4,4,1.0,concrete,neutral,commerce,20.0,1,4
food chain,food,chain,medium,5.4,6.4,4,0.7,concrete,neutral,nature,20.0,1,4
food coloring,food,coloring,medium,5.2,6.2,4,1.0,concrete,neutral,food,20.0,1,4
food court,food,court,medium,5.6,6.6,4,1.0,concrete,neutral,commerce,20.0,1,4
food festival,food,festival,medium,5.4,6.4,2,1.0,concrete,neutral,social,20.0,1,4
food stand,food,stand,medium,5.4,6.4,5,1.0,concrete,neutral,commerce,20.0,1,4
food truck,food,truck,medium,5.6,6.6,1,1.0,concrete,neutral,commerce,20.0,1,4
food web,food,web,medium,5.2,6.2,1,0.7,concrete,neutral,nature,20.0,1,4
fool around,fool,around,medium,5.4,6.4,1,0.5,abstract,negative,action,20.0,1,4
foot ball,foot,ball,high,6.2,7.4,1,1.0,concrete,neutral,sports,20.0,1,4
foot path,foot,path,medium,5.4,6.4,2,1.0,concrete,neutral,transport,20.0,1,4
foot race,foot,race,medium,5.2,6.2,2,1.0,concrete,neutral,sports,20.0,1,4
foot rest,foot,rest,high,5.5,5.7,2,1.0,concrete,neutral,object_neutral,20.0,1,4
foot stool,foot,stool,medium,5.2,6.2,2,1.0,concrete,neutral,household,20.0,1,4
foot work,foot,work,medium,5.2,6.2,2,0.5,abstract,neutral,action,20.0,1,4
football field,football,field,medium,5.6,6.6,1,1.0,concrete,neutral,sports,20.0,1,4
football game,football,game,medium,5.6,6.6,1,1.0,concrete,neutral,sports,20.0,1,4
football helmet,football,helmet,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
football player,football,player,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
football season,football,season,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
football team,football,team,medium,5.4,6.4,1,1.0,concrete,neutral,sports,20.0,1,4
for sale,for,sale,high,5.8,6.8,1,1.0,concrete,neutral,commerce,20.0,1,4
forest fire,forest,fire,medium,5.4,6.4,2,1.0,concrete,neutral,nature,20.0,1,4
forest floor,forest,floor,medium,5.4,6.4,2,1.0,concrete,neutral,nature,20.0,1,4
forest path,forest,path,medium,5.4,6.4,1,1.0,concrete,neutral,nature,20.0,1,4
forest ranger,forest,ranger,medium,5.4,6.4,1,1.0,concrete,neutral,job,20.0,1,4
forest trail,forest,trail,medium,5.2,6.2,1,1.0,concrete,neutral,nature,20.0,1,4
forget about,forget,about,medium,5.6,6.6,1,0.5,abstract,neutral,thought,20.0,1,4
fork lift,fork,lift,medium,5.5,5.7,1,1.0,concrete,neutral,transport,20.0,1,4
